,algo_1,algo_1_expanded,algo_2,algo_2_expanded,F_score,p_value,,,,,,,,
17,astar,"[74, 119, 179, 164, 116, 287, 129, 207, 125, 223, 285, 71, 367, 246, 424, 97, 395, 197, 377, 197]",mmOppositeDirectionManhattan,"[74, 189, 214, 192, 117, 330, 126, 237, 203, 207, 336, 70, 371, 269, 448, 129, 455, 311, 447, 227]",0.848951863,0.362661994,,,,,,,,
18,ucs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",mm0,"[238, 409, 505, 436, 319, 593, 356, 505, 421, 493, 609, 173, 643, 519, 691, 307, 672, 512, 674, 490]",19.06143039,9.40E-05,,,,,,,,
19,ucs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",mmEuclidean,"[94, 159, 221, 246, 168, 449, 155, 275, 131, 316, 385, 73, 467, 361, 631, 103, 539, 232, 542, 255]",66.05126973,7.76E-10,,,,,,,,
20,ucs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",mmManhattan,"[66, 109, 163, 144, 100, 258, 111, 183, 115, 198, 261, 58, 337, 222, 392, 85, 361, 181, 343, 177]",172.134552,1.09E-15,,,,,,,,
21,ucs,"[559, 534, 728, 611, 558, 775, 616, 790, 571, 832, 814, 387, 832, 635, 807, 515, 694, 626, 757, 698]",mmOppositeDirectionManhattan,"[74, 189, 214, 192, 117, 330, 126, 237, 203, 207, 336, 70, 371, 269, 448, 129, 455, 311, 447, 227]",116.6184596,3.86E-13,,,,,,,,
22,mm0,"[238, 409, 505, 436, 319, 593, 356, 505, 421, 493, 609, 173, 643, 519, 691, 307, 672, 512, 674, 490]",mmEuclidean,"[94, 159, 221, 246, 168, 449, 155, 275, 131, 316, 385, 73, 467, 361, 631, 103, 539, 232, 542, 255]",14.40006576,0.000516556,,,,,,,,
23,mm0,"[238, 409, 505, 436, 319, 593, 356, 505, 421, 493, 609, 173, 643, 519, 691, 307, 672, 512, 674, 490]",mmManhattan,"[66, 109, 163, 144, 100, 258, 111, 183, 115, 198, 261, 58, 337, 222, 392, 85, 361, 181, 343, 177]",50.40153552,1.81E-08,,,,,,,,
24,mm0,"[238, 409, 505, 436, 319, 593, 356, 505, 421, 493, 609, 173, 643, 519, 691, 307, 672, 512, 674, 490]",mmOppositeDirectionManhattan,"[74, 189, 214, 192, 117, 330, 126, 237, 203, 207, 336, 70, 371, 269, 448, 129, 455, 311, 447, 227]",29.29141712,3.64E-06,,,,,,,,
25,mmEuclidean,"[94, 159, 221, 246, 168, 449, 155, 275, 131, 316, 385, 73, 467, 361, 631, 103, 539, 232, 542, 255]",mmManhattan,"[66, 109, 163, 144, 100, 258, 111, 183, 115, 198, 261, 58, 337, 222, 392, 85, 361, 181, 343, 177]",4.957135295,0.031987675,,,,,,,,
26,mmEuclidean,"[94, 159, 221, 246, 168, 449, 155, 275, 131, 316, 385, 73, 467, 361, 631, 103, 539, 232, 542, 255]",mmOppositeDirectionManhattan,"[74, 189, 214, 192, 117, 330, 126, 237, 203, 207, 336, 70, 371, 269, 448, 129, 455, 311, 447, 227]",0.860836843,0.359360667,,,,,,,,
27,mmManhattan,"[66, 109, 163, 144, 100, 258, 111, 183, 115, 198, 261, 58, 337, 222, 392, 85, 361, 181, 343, 177]",mmOppositeDirectionManhattan,"[74, 189, 214, 192, 117, 330, 126, 237, 203, 207, 336, 70, 371, 269, 448, 129, 455, 311, 447, 227]",2.363666325,0.132475961,,,,,,,,
